	Stu_00ea0b50a27238a1a209396453fb1c4d	Stu_01476ce43b36f563415487142e1c046c	Stu_0253cdb749f39471861340d0346915f1	Stu_02e531baf3492ba41607c21175598a09	Stu_038d615d7f4ebc8b27efd2c8d226d034	Stu_0391448da5eac00f9b6dd455081aa08e	Stu_04dd6ee86838195f6ceaf45c5bec197e	Stu_04ea566d35db87559bff32360ac139ac	Stu_0657f86f4ff3fe084bfff62f488150c4	Stu_07162763f5295ac2ac205a59c82f218e	Stu_0750480f9d470c37e313dc36329047f7	Stu_08068adc1a7ce33ac09ccb426ab6f293	Stu_0832d131f43ba6e40d91ab220cc1bb79	Stu_09266f06981ef59c54b75202604eebbf	Stu_09f76d2083c142e10771e26934a20c26	Stu_0b5df9ca7199154ee2f1d10fb15b3c50	Stu_0b8e52119f6b5f2b2dd5c1ad16a750f8
11-0-sample mean|mean	12.0831827396731	-12.0116736076215	-12.1516969313694	12.0992249433909	-12.0379884000182	13.4911785266434	11.8519563504174	12.2409324659075	11.7231764553157	12.7030586815661	12.7409920962457	12.6177469612125	-12.6993327667703	12.6289482345662	12.8014528002992	12.7353424537093	-13.0893979816997
11-1-statistic	11.8424488386077	-12.6458616497011	-13.1394051323639	-12.9266198536898	-12.5704903853431	-11.938287265063	-13.281975567287	-12.5558050221263	-13.2947338407933	12.6315650146594	12.7777879809705	12.7489643932008	-13.6081891109145	12.5773028889494	-11.9379900834157	12.4475902186429	-12.7540672853548
11-2-represents|describes|shows	-12.6380929390894	-13.3349687987736	11.7993269500736	-12.5536162352361	-12.8870134330461	12.9242255852804	-12.7712775501945	-12.3968468911929	-12.9735182231169	-12.082564022168	12.5981672543886	12.9726262622271	11.7808533822918	12.93087795008	13.4087629636506	12.5629472142456	-12.2724443911924
11-3-expect	-12.8243005816567	-15.9313817289101	-13.1182996267884	-12.9530735370481	-12.8260756167029	12.8329439261697	-12.7382237985065	-12.8532498536239	-14.0428238317396	12.7865862687404	13.1316093429797	12.6699433700559	-13.7901795002871	12.7148044706216	-11.8699966233733	12.7679952379073	-13.0549339282456
12-0-standard deviation	-12.8075243143028	-16.171336221419	-13.1217677601157	-12.7932010201872	-13.6171960794914	12.8417035578394	-13.0427022126795	-12.8840206150087	-13.9441692019353	-11.995015938084	13.0038982124144	12.8752369847627	-13.0014701820807	12.8937796559186	12.9797587291612	12.6247489369658	-13.1763161962709
12-1-statistic	-12.9124709511455	-13.4768257819964	-13.059681524682	-12.7049269571501	-13.4980895764352	12.1415570775722	-12.9359823631405	-12.7804060248128	-12.7998925023841	-12.2442531343056	-11.8965271920389	12.446506707121	-12.7758496550672	12.1694076512084	-11.9436698420263	-12.2559382322406	-13.3045906109078
12-2-variability	-12.7488979187083	-11.7422398636982	-12.7866114690585	-13.0098484734343	-12.6635642074316	-12.3606574396383	11.7706872977535	12.1727548548967	-12.5583619082373	-12.28426877028	-12.5658350538506	12.4643170459646	-12.533744795352	-12.5957047339675	-12.2810196116054	-12.4583020783729	-13.0453534642523
12-3-observations	11.9951202819229	-12.4518707026742	-13.1509483539946	11.9045184943937	-12.8923954147816	-12.0294015095915	-13.2904364662976	-12.9148184512638	-12.7623090761974	-12.2950536334625	12.3570893498957	12.3756615934467	-12.59238165449	12.7184086732809	12.7861704078477	-12.2332553390215	-12.7975930108627
13-0-units	-12.8958375539706	-12.7735793587965	-12.6070203608704	11.9964324501068	-12.7305660792184	12.2753528492666	-12.459825159892	11.9004840269262	-12.1170076934608	12.4438519418149	-12.0821134571345	-12.2788084973382	-12.7155682954973	-12.2487227309691	-12.2466246124425	12.3526159317428	-13.081905792383
13-1-standard deviation	-12.914432040615	-13.2403998043845	-13.1043883198218	-12.4878278619653	-14.1975808440771	-12.3976940892619	-13.9088797246011	-12.7736733245648	-12.7660776136399	-12.3612108765557	-12.1167498299283	-12.1953076741486	-12.6721176314411	12.2541136511129	12.4870319243862	-12.6378303748264	-12.6597713444247
13-2-same	-12.7788961638133	-12.4557551865264	-12.0353106778776	-12.3206289745259	12.1879335983747	12.5458336086818	12.3994516956046	11.8837625281525	-12.5562919746281	12.7882454474364	12.9568971405955	13.0747114101265	12.1395745449617	12.8072588400751	12.5592310214829	13.3884920386211	12.2160861189312
13-3-measure|represent|describe	11.8236195330059	-13.1168006255232	-12.362844561914	-12.2476064556714	11.7111757075237	12.5792638362626	-12.3330159922017	-12.5686312490205	-12.5895258440454	12.4600417570697	13.8003198863023	13.0827227808131	11.6224620591645	13.3719816626356	12.5387559258931	12.9848000139488	-12.0945072937128
14-0-variance	-12.8595784624446	-13.2826300201589	-13.3743687124455	-12.5771284430747	-14.6935020452808	12.3964983857736	-12.8395869435615	-13.0502201562036	-12.7076176356504	-12.2924346553343	12.3713011835859	-12.2298549811626	-12.8807787262308	-11.9103322918494	12.3968099025383	-12.2907932581482	-13.0609035095091
14-1-sample	-12.5684007542271	-12.4232187527493	-13.8304945186073	11.9285080326839	-13.1776876474768	-11.8218266423804	-13.1262993466105	-12.6592523006198	-13.1750613740168	-12.1600516881513	12.1500654029772	-12.2932434190639	-12.6263266170314	-11.8100032454343	12.4989976565266	12.0613290501606	-12.6406318724502
14-2-dividing	12.4213336907345	11.656741006069	-12.1951486309373	-12.316234114142	12.3681315624777	-12.3133945772076	12.8149005737078	-12.3595721800622	-12.2963480712948	12.2402466276368	12.6937623259831	12.4116378375796	-12.1014465404958	-11.9370941080808	11.7777060979307	12.5487990740492	12.3469434858685
14-3-1|one	-12.9915577216887	-12.4077761902549	-13.4087422930642	-12.9144538251768	-12.5763956226285	12.9913149442807	11.8735402337212	-12.4303171533849	-13.7404142182003	12.7961382053355	12.7545994510051	12.7000590297203	-13.1755929076056	-11.9422060306546	-12.1086649673067	12.5547139594712	-12.9842040785372
15-0-variance	-12.4886261144284	-13.3511427125525	-12.3703178333986	12.3275808542246	-12.5801732396397	12.8295595998041	-12.7486819946945	-12.336470832775	11.5565074066996	12.3802214309458	-11.7773354239556	-12.5255312353904	-12.840108568123	12.6360652113852	12.5256983480041	12.2197953861914	-12.7566740875577
15-1-squared	-13.1095851316421	-13.2947287394587	-13.1646782551663	12.2144345311397	-14.0456693033297	12.2050058499862	-13.2481225313889	-13.1172624572796	-12.3548291732753	-12.2497010541047	-11.9361077658875	-12.2551797215905	-12.4082747989644	12.3298498000582	12.7080080585063	-12.4306119668965	-12.9205040417971
15-2-difference	-12.7165746920092	-15.4508322282058	-13.0398957204928	-12.626492123407	-13.3612575770432	-11.988377121933	-13.0945799904522	-13.1941072422609	-13.4497498666154	12.3925682644676	12.467949553975	-12.2719390337192	-13.4548172017321	12.7176689102398	12.4717822876803	-12.2186065787691	-12.5587176899103
15-3-mean	12.1480032134651	-12.5541185652407	-12.447262100998	-12.4880263148425	-12.7988497942977	12.6308150952835	-12.9699951249101	-12.4528658498403	11.5636853321274	-12.3246323825119	12.6057946603211	12.3461071340249	-13.0225904208968	12.6656291833686	12.6657655852734	-12.1372451560664	-13.3228655388102
